product, mid, bid_offer_spread
9128283H1,99-08+,0-002
9128283H1,101-100,0-002
9128283H1,99-222,0-00+
9128283H1,101-175,0-002
9128283H1,99-081,0-002
9128283H1,101-275,0-00+
9128283H1,101-28+,0-00+
9128283H1,101-240,0-00+
9128283H1,99-215,0-002
9128283H1,99-297,0-003
9128283G3,100-256,0-003
9128283G3,100-021,0-002
9128283G3,100-201,0-002
9128283G3,101-050,0-002
9128283G3,100-201,0-003
9128283G3,101-051,0-00+
9128283G3,100-126,0-002
9128283G3,101-077,0-003
9128283G3,100-175,0-003
9128283G3,99-211,0-00+
912828M80,99-006,0-003
912828M80,101-267,0-002
912828M80,99-21+,0-003
912828M80,101-071,0-003
912828M80,99-210,0-00+
912828M80,101-171,0-002
912828M80,100-066,0-003
912828M80,100-16+,0-00+
912828M80,100-177,0-00+
912828M80,100-02+,0-00+
9128283J7,99-075,0-00+
9128283J7,99-061,0-002
9128283J7,100-252,0-00+
9128283J7,101-023,0-00+
9128283J7,99-312,0-003
9128283J7,101-302,0-002
9128283J7,99-18+,0-00+
9128283J7,100-067,0-003
9128283J7,99-175,0-00+
9128283J7,101-120,0-00+
9128283F5,99-005,0-003
9128283F5,101-037,0-002
9128283F5,100-047,0-00+
9128283F5,101-053,0-002
9128283F5,99-095,0-00+
9128283F5,101-146,0-00+
9128283F5,101-283,0-00+
9128283F5,99-306,0-003
9128283F5,100-177,0-00+
9128283F5,101-275,0-003
912810RZ3,101-307,0-002
912810RZ3,101-130,0-003
912810RZ3,101-303,0-00+
912810RZ3,100-013,0-00+
912810RZ3,100-167,0-003
912810RZ3,100-07+,0-002
912810RZ3,100-212,0-00+
912810RZ3,99-193,0-002
912810RZ3,99-212,0-003
912810RZ3,99-311,0-00+
