product, tradeId, book, price, quantity, side
9128283H1,T0,TRSY1,99-145,300000,SELL
9128283H1,T30,TRSY3,100-233,200000,BUY
9128283H1,T60,TRSY2,100-293,100000,SELL
9128283H1,T90,TRSY1,100-062,200000,SELL
9128283H1,T120,TRSY3,99-191,300000,SELL
9128283H1,T150,TRSY1,99-310,400000,BUY
9128283H1,T180,TRSY3,99-22+,200000,SELL
9128283H1,T210,TRSY1,100-202,300000,BUY
9128283H1,T240,TRSY2,99-183,400000,BUY
9128283H1,T270,TRSY3,99-082,400000,SELL
9128283G3,T100,TRSY1,99-020,400000,SELL
9128283G3,T130,TRSY3,100-247,300000,BUY
9128283G3,T160,TRSY1,99-042,400000,BUY
9128283G3,T190,TRSY2,100-011,200000,BUY
9128283G3,T220,TRSY3,100-057,400000,SELL
9128283G3,T250,TRSY2,99-275,500000,SELL
9128283G3,T280,TRSY3,99-257,100000,BUY
9128283G3,T310,TRSY2,100-271,200000,BUY
9128283G3,T340,TRSY1,100-266,500000,BUY
9128283G3,T370,TRSY1,100-25+,200000,SELL
912828M80,T200,TRSY2,99-242,200000,SELL
912828M80,T230,TRSY1,99-150,200000,BUY
912828M80,T260,TRSY3,100-311,400000,SELL
912828M80,T290,TRSY1,99-155,400000,BUY
912828M80,T320,TRSY2,100-201,500000,SELL
912828M80,T350,TRSY1,99-316,400000,SELL
912828M80,T380,TRSY3,99-021,500000,SELL
912828M80,T410,TRSY1,99-232,300000,BUY
912828M80,T440,TRSY1,99-120,200000,SELL
912828M80,T470,TRSY3,99-210,100000,BUY
9128283J7,T300,TRSY1,99-230,200000,SELL
9128283J7,T330,TRSY3,99-15+,200000,SELL
9128283J7,T360,TRSY2,100-120,300000,BUY
9128283J7,T390,TRSY2,99-063,300000,BUY
9128283J7,T420,TRSY1,99-153,100000,BUY
9128283J7,T450,TRSY2,99-013,200000,SELL
9128283J7,T480,TRSY3,100-082,200000,SELL
9128283J7,T510,TRSY1,100-230,100000,BUY
9128283J7,T540,TRSY1,99-14+,100000,BUY
9128283J7,T570,TRSY1,99-021,400000,BUY
9128283F5,T400,TRSY2,100-242,300000,SELL
9128283F5,T430,TRSY2,99-070,500000,SELL
9128283F5,T460,TRSY1,100-207,400000,BUY
9128283F5,T490,TRSY1,100-145,200000,SELL
9128283F5,T520,TRSY3,100-25+,400000,SELL
9128283F5,T550,TRSY1,99-245,300000,BUY
9128283F5,T580,TRSY3,99-020,400000,BUY
9128283F5,T610,TRSY3,100-141,100000,BUY
9128283F5,T640,TRSY2,100-030,500000,SELL
9128283F5,T670,TRSY3,99-011,100000,BUY
912810RZ3,T500,TRSY2,100-007,400000,BUY
912810RZ3,T530,TRSY3,99-293,500000,BUY
912810RZ3,T560,TRSY2,100-157,100000,BUY
912810RZ3,T590,TRSY1,100-29+,400000,BUY
912810RZ3,T620,TRSY2,100-015,400000,SELL
912810RZ3,T650,TRSY1,100-256,100000,SELL
912810RZ3,T680,TRSY3,100-18+,500000,SELL
912810RZ3,T710,TRSY2,100-281,300000,SELL
912810RZ3,T740,TRSY2,100-295,400000,BUY
912810RZ3,T770,TRSY2,100-200,400000,BUY
