product, price, quantity, side, state
9128283H1,100,1000000,BUY,RECEIVED
9128283H1,100,6000000,SELL,RECEIVED
9128283H1,100,4000000,BUY,RECEIVED
9128283H1,100,7000000,BUY,RECEIVED
9128283H1,100,7000000,SELL,RECEIVED
9128283H1,100,2000000,BUY,RECEIVED
9128283H1,100,5000000,BUY,RECEIVED
9128283H1,100,2000000,SELL,RECEIVED
9128283H1,100,6000000,SELL,RECEIVED
9128283H1,100,8000000,SELL,RECEIVED
9128283G3,100,9000000,SELL,RECEIVED
9128283G3,100,8000000,SELL,RECEIVED
9128283G3,100,6000000,BUY,RECEIVED
9128283G3,100,4000000,SELL,RECEIVED
9128283G3,100,2000000,SELL,RECEIVED
9128283G3,100,5000000,BUY,RECEIVED
9128283G3,100,5000000,SELL,RECEIVED
9128283G3,100,8000000,SELL,RECEIVED
9128283G3,100,3000000,BUY,RECEIVED
9128283G3,100,6000000,BUY,RECEIVED
912828M80,100,1000000,BUY,RECEIVED
912828M80,100,3000000,BUY,RECEIVED
912828M80,100,3000000,SELL,RECEIVED
912828M80,100,8000000,SELL,RECEIVED
912828M80,100,1000000,SELL,RECEIVED
912828M80,100,2000000,SELL,RECEIVED
912828M80,100,1000000,BUY,RECEIVED
912828M80,100,5000000,BUY,RECEIVED
912828M80,100,6000000,BUY,RECEIVED
912828M80,100,1000000,BUY,RECEIVED
9128283J7,100,5000000,BUY,RECEIVED
9128283J7,100,4000000,SELL,RECEIVED
9128283J7,100,7000000,SELL,RECEIVED
9128283J7,100,1000000,SELL,RECEIVED
9128283J7,100,3000000,BUY,RECEIVED
9128283J7,100,1000000,BUY,RECEIVED
9128283J7,100,5000000,BUY,RECEIVED
9128283J7,100,1000000,BUY,RECEIVED
9128283J7,100,7000000,BUY,RECEIVED
9128283J7,100,2000000,SELL,RECEIVED
9128283F5,100,2000000,SELL,RECEIVED
9128283F5,100,9000000,BUY,RECEIVED
9128283F5,100,3000000,SELL,RECEIVED
9128283F5,100,9000000,BUY,RECEIVED
9128283F5,100,4000000,BUY,RECEIVED
9128283F5,100,4000000,SELL,RECEIVED
9128283F5,100,9000000,SELL,RECEIVED
9128283F5,100,6000000,BUY,RECEIVED
9128283F5,100,4000000,BUY,RECEIVED
9128283F5,100,2000000,BUY,RECEIVED
912810RZ3,100,4000000,BUY,RECEIVED
912810RZ3,100,6000000,SELL,RECEIVED
912810RZ3,100,8000000,SELL,RECEIVED
912810RZ3,100,7000000,SELL,RECEIVED
912810RZ3,100,5000000,SELL,RECEIVED
912810RZ3,100,8000000,SELL,RECEIVED
912810RZ3,100,8000000,BUY,RECEIVED
912810RZ3,100,5000000,SELL,RECEIVED
912810RZ3,100,4000000,BUY,RECEIVED
912810RZ3,100,1000000,BUY,RECEIVED
