product, mid, bid_offer_spread
9128283H1,101-196,0-00+
9128283H1,101-157,0-003
9128283H1,100-232,0-002
9128283H1,101-230,0-00+
9128283H1,100-223,0-00+
9128283H1,100-14+,0-002
9128283H1,101-302,0-002
9128283H1,100-035,0-002
9128283H1,100-053,0-00+
9128283H1,101-143,0-003
9128283G3,101-001,0-002
9128283G3,99-072,0-003
9128283G3,101-130,0-003
9128283G3,99-130,0-00+
9128283G3,101-101,0-00+
9128283G3,101-010,0-002
9128283G3,101-272,0-003
9128283G3,100-081,0-002
9128283G3,100-093,0-002
9128283G3,100-127,0-003
912828M80,100-292,0-003
912828M80,100-271,0-003
912828M80,101-090,0-003
912828M80,101-062,0-003
912828M80,101-312,0-00+
912828M80,101-031,0-003
912828M80,99-240,0-00+
912828M80,101-121,0-003
912828M80,99-141,0-003
912828M80,99-301,0-003
9128283J7,99-025,0-00+
9128283J7,101-27+,0-002
9128283J7,99-242,0-00+
9128283J7,101-092,0-002
9128283J7,100-220,0-00+
9128283J7,100-176,0-00+
9128283J7,101-095,0-003
9128283J7,101-006,0-00+
9128283J7,99-311,0-00+
9128283J7,101-096,0-00+
9128283F5,100-143,0-003
9128283F5,101-016,0-00+
9128283F5,101-112,0-003
9128283F5,101-017,0-003
9128283F5,100-205,0-002
9128283F5,100-081,0-00+
9128283F5,99-07+,0-003
9128283F5,101-220,0-003
9128283F5,101-085,0-00+
9128283F5,101-183,0-00+
912810RZ3,100-000,0-00+
912810RZ3,100-06+,0-00+
912810RZ3,100-243,0-003
912810RZ3,101-302,0-003
912810RZ3,100-026,0-002
912810RZ3,100-122,0-002
912810RZ3,101-160,0-002
912810RZ3,100-062,0-00+
912810RZ3,100-270,0-00+
912810RZ3,100-06+,0-002
37EAEB1,100-021,0-003
3137EAEC9,99-306,0-002
3137EADB2,99-132,0-00+
3134A3U46,99-230,0-00+
3134A4KX1,99-305,0-00+
3137EAED7,100-223,0-003
3137EAEB1,100-262,0-00+
3137EAEC9,99-171,0-00+
3137EADB2,99-317,0-003
3134A3U46,99-07+,0-00+
3134A4KX1,99-102,0-00+
3137EAED7,100-291,0-003
3137EAEB1,100-016,0-003
3137EAEC9,100-043,0-002
3137EADB2,99-043,0-003
3134A3U46,100-233,0-00+
3134A4KX1,100-261,0-002
3137EAED7,100-007,0-002
3137EAEB1,100-145,0-00+
3137EAEC9,99-061,0-00+
3137EADB2,100-220,0-003
3134A3U46,99-112,0-00+
3134A4KX1,100-26+,0-003
3137EAED7,99-047,0-00+
3137EAEB1,99-301,0-00+
3137EAEC9,99-202,0-003
3137EADB2,99-297,0-00+
3134A3U46,99-073,0-00+
3134A4KX1,99-31+,0-00+
3137EAED7,99-291,0-003
3137EAEB1,99-180,0-00+
3137EAEC9,99-223,0-002
3137EADB2,100-057,0-003
3134A3U46,100-14+,0-003
3134A4KX1,100-286,0-003
3137EAED7,99-297,0-00+
3137EAEB1,99-182,0-002
3137EAEC9,99-207,0-00+
3137EADB2,99-016,0-002
3134A3U46,100-253,0-003
3134A4KX1,100-03+,0-002
3137EAED7,100-080,0-002
3137EAEB1,100-236,0-00+
3137EAEC9,100-206,0-00+
3137EADB2,99-00+,0-00+
3134A3U46,100-247,0-002
3134A4KX1,99-140,0-002
3137EAED7,100-086,0-003
3137EAEB1,100-101,0-003
3137EAEC9,100-115,0-00+
3137EADB2,99-135,0-003
3134A3U46,99-111,0-00+
3134A4KX1,99-283,0-00+
3137EAED7,100-122,0-003
3137EAEB1,99-157,0-00+
3137EAEC9,99-265,0-003
3137EADB2,99-147,0-00+
3134A3U46,100-00+,0-003
3134A4KX1,99-196,0-003
3137EAED7,100-302,0-003
3137EAEB1,100-037,0-002
3137EAEC9,100-137,0-00+
3137EADB2,100-295,0-003
3134A3U46,99-072,0-00+
3134A4KX1,100-250,0-003
3137EAED7,100-190,0-003
3137EAEB1,99-022,0-00+
3137EAEC9,99-200,0-003
3137EADB2,100-072,0-003
3134A3U46,100-061,0-00+
3134A4KX1,100-171,0-002
3137EAED7,100-126,0-003
3137EAEB1,100-043,0-003
3137EAEC9,99-261,0-00+
3137EADB2,100-221,0-00+
3134A3U46,100-245,0-003
3134A4KX1,99-185,0-00+
3137EAED7,100-120,0-002
3137EAEB1,100-175,0-002
3137EAEC9,100-001,0-002
3137EADB2,100-143,0-002
3134A3U46,99-297,0-003
3134A4KX1,99-03+,0-003
3137EAED7,99-223,0-003
3137EAEB1,100-180,0-00+
3137EAEC9,99-146,0-002
3137EADB2,100-262,0-003
3134A3U46,99-135,0-002
3134A4KX1,99-231,0-002
3137EAED7,100-05+,0-00+
3137EAEB1,100-165,0-00+
3137EAEC9,99-151,0-002
3137EADB2,100-305,0-00+
3134A3U46,99-293,0-002
3134A4KX1,99-051,0-00+
3137EAED7,99-013,0-003
3137EAEB1,99-15+,0-00+
3137EAEC9,100-261,0-002
3137EADB2,99-07+,0-003
3134A3U46,99-132,0-003
3134A4KX1,100-045,0-00+
3137EAED7,100-130,0-00+
3137EAEB1,99-113,0-00+
3137EAEC9,100-193,0-003
3137EADB2,100-297,0-002
3134A3U46,99-177,0-00+
3134A4KX1,99-263,0-00+
3137EAED7,99-086,0-003
3137EAEB1,99-081,0-002
3137EAEC9,100-047,0-00+
3137EADB2,99-251,0-00+
3134A3U46,99-146,0-00+
3134A4KX1,99-111,0-003
3137EAED7,99-206,0-003
3137EAEB1,99-133,0-002
3137EAEC9,99-125,0-00+
3137EADB2,99-161,0-00+
3134A3U46,99-020,0-003
3134A4KX1,99-12+,0-003
3137EAED7,100-196,0-002
3137EAEB1,100-005,0-002
3137EAEC9,100-061,0-002
3137EADB2,99-253,0-002
3134A3U46,99-052,0-00+
3134A4KX1,100-177,0-003
3137EAED7,100-01+,0-00+
3137EAEB1,99-30+,0-00+
3137EAEC9,99-09+,0-003
3137EADB2,100-26+,0-003
3134A3U46,100-147,0-00+
3134A4KX1,99-276,0-003
3137EAED7,99-015,0-003
3137EAEB1,100-17+,0-00+
3137EAEC9,99-085,0-00+
3137EADB2,100-16+,0-003
3134A3U46,100-261,0-003
3134A4KX1,100-115,0-002
3137EAED7,100-042,0-003
3137EAEB1,99-255,0-002
3137EAEC9,99-007,0-003
3137EADB2,100-150,0-00+
3134A3U46,100-103,0-00+
3134A4KX1,99-13+,0-002
3137EAED7,99-08+,0-003
3137EAEB1,100-033,0-003
3137EAEC9,99-113,0-003
3137EADB2,99-080,0-002
3134A3U46,100-201,0-002
3134A4KX1,100-135,0-003
3137EAED7,100-207,0-002
3137EAEB1,100-215,0-003
3137EAEC9,99-121,0-00+
3137EADB2,100-235,0-00+
3134A3U46,99-073,0-003
3134A4KX1,99-191,0-003
3137EAED7,99-15+,0-002
3137EAEB1,99-26+,0-002
3137EAEC9,99-192,0-003
3137EADB2,100-067,0-003
3134A3U46,100-307,0-002
3134A4KX1,100-156,0-003
3137EAED7,99-303,0-002
3137EAEB1,100-120,0-00+
3137EAEC9,99-071,0-003
3137EADB2,99-206,0-00+
3134A3U46,100-236,0-003
3134A4KX1,100-025,0-002
3137EAED7,99-090,0-002
3137EAEB1,99-077,0-002
3137EAEC9,99-043,0-00+
3137EADB2,99-086,0-003
3134A3U46,99-312,0-00+
3134A4KX1,100-233,0-002
3137EAED7,100-063,0-003
3137EAEB1,100-226,0-002
3137EAEC9,100-28+,0-003
3137EADB2,100-247,0-00+
3134A3U46,99-295,0-00+
3134A4KX1,100-155,0-00+
3137EAED7,100-196,0-002
3137EAEB1,100-005,0-003
