product, tradeId, book, price, quantity, side
9128283H1,T0,TRSY3,101-000,5000000,SELL
9128283H1,T30,TRSY3,100-096,4000000,SELL
9128283H1,T60,TRSY2,100-121,1000000,BUY
9128283H1,T90,TRSY2,100-193,2000000,BUY
9128283H1,T120,TRSY2,99-177,3000000,SELL
9128283H1,T150,TRSY1,99-300,3000000,BUY
9128283H1,T180,TRSY2,99-086,2000000,SELL
9128283H1,T210,TRSY3,100-181,3000000,SELL
9128283H1,T240,TRSY3,99-31+,5000000,SELL
9128283H1,T270,TRSY3,99-170,1000000,SELL
9128283G3,T1000,TRSY3,99-265,3000000,BUY
9128283G3,T1030,TRSY1,99-057,2000000,BUY
9128283G3,T1060,TRSY3,99-247,3000000,SELL
9128283G3,T1090,TRSY2,100-226,3000000,BUY
9128283G3,T1120,TRSY3,100-313,5000000,SELL
9128283G3,T1150,TRSY2,100-266,1000000,SELL
9128283G3,T1180,TRSY1,100-120,1000000,SELL
9128283G3,T1210,TRSY2,99-09+,2000000,BUY
9128283G3,T1240,TRSY3,99-07+,1000000,SELL
9128283G3,T1270,TRSY1,100-081,4000000,SELL
912828M80,T2000,TRSY1,100-067,5000000,SELL
912828M80,T2030,TRSY1,99-051,2000000,SELL
912828M80,T2060,TRSY3,99-181,5000000,BUY
912828M80,T2090,TRSY3,99-045,3000000,SELL
912828M80,T2120,TRSY3,99-036,5000000,BUY
912828M80,T2150,TRSY1,100-097,5000000,SELL
912828M80,T2180,TRSY1,99-227,3000000,SELL
912828M80,T2210,TRSY3,100-087,2000000,BUY
912828M80,T2240,TRSY3,99-113,1000000,BUY
912828M80,T2270,TRSY3,99-227,3000000,SELL
9128283J7,T3000,TRSY2,100-261,2000000,SELL
9128283J7,T3030,TRSY3,99-177,1000000,SELL
9128283J7,T3060,TRSY3,99-315,1000000,SELL
9128283J7,T3090,TRSY1,99-222,2000000,SELL
9128283J7,T3120,TRSY1,100-225,3000000,BUY
9128283J7,T3150,TRSY2,100-290,4000000,BUY
9128283J7,T3180,TRSY3,99-23+,5000000,SELL
9128283J7,T3210,TRSY3,99-150,3000000,SELL
9128283J7,T3240,TRSY3,99-255,4000000,SELL
9128283J7,T3270,TRSY1,100-020,3000000,BUY
9128283F5,T4000,TRSY2,99-253,5000000,BUY
9128283F5,T4030,TRSY3,100-087,1000000,BUY
9128283F5,T4060,TRSY3,99-297,2000000,SELL
9128283F5,T4090,TRSY3,99-307,2000000,BUY
9128283F5,T4120,TRSY1,99-142,4000000,SELL
9128283F5,T4150,TRSY2,99-145,4000000,BUY
9128283F5,T4180,TRSY1,99-29+,1000000,SELL
9128283F5,T4210,TRSY2,100-263,4000000,BUY
9128283F5,T4240,TRSY1,100-210,3000000,BUY
9128283F5,T4270,TRSY1,100-255,4000000,SELL
912810RZ3,T5000,TRSY3,100-222,1000000,BUY
912810RZ3,T5030,TRSY3,99-147,5000000,SELL
912810RZ3,T5060,TRSY2,99-04+,5000000,SELL
912810RZ3,T5090,TRSY1,100-042,5000000,SELL
912810RZ3,T5120,TRSY1,100-276,4000000,BUY
912810RZ3,T5150,TRSY2,99-060,5000000,BUY
912810RZ3,T5180,TRSY3,99-077,4000000,SELL
912810RZ3,T5210,TRSY1,100-056,4000000,BUY
912810RZ3,T5240,TRSY3,100-026,5000000,BUY
912810RZ3,T5270,TRSY1,99-030,4000000,SELL
